Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"crocodile-op01-062","Crocodile · Leader (OP01-062)","<p><strong>Crocodile</strong> — Leader from OP-01 Romance Dawn (OP01-062).</p><p>Color: Blue/Purple · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-062",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-062.png?260715","Crocodile Leader card","active"
"king-op01-091","King · Leader (OP01-091)","<p><strong>King</strong> — Leader from OP-01 Romance Dawn (OP01-091).</p><p>Color: Purple · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-091",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-091.png?260715","King Leader card","active"
"monkey-d-luffy-op01-024","Monkey.D.Luffy · Super Rare (OP01-024)","<p><strong>Monkey.D.Luffy</strong> — Super Rare from OP-01 Romance Dawn (OP01-024).</p><p>Color: Red · Power 3000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-024",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024.png?260715","Monkey.D.Luffy Super Rare card","active"
"roronoa-zoro-op01-025","Roronoa Zoro · Super Rare (OP01-025)","<p><strong>Roronoa Zoro</strong> — Super Rare from OP-01 Romance Dawn (OP01-025).</p><p>Color: Red · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-025",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-025.png?260715","Roronoa Zoro Super Rare card","active"
"kin-emon-op01-040","Kin'emon · Super Rare (OP01-040)","<p><strong>Kin'emon</strong> — Super Rare from OP-01 Romance Dawn (OP01-040).</p><p>Color: Green · Power 6000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-040",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-040.png?260715","Kin'emon Super Rare card","active"
"trafalgar-law-op01-047","Trafalgar Law · Super Rare (OP01-047)","<p><strong>Trafalgar Law</strong> — Super Rare from OP-01 Romance Dawn (OP01-047).</p><p>Color: Green · Power 6000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-047",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-047.png?260715","Trafalgar Law Super Rare card","active"
"eustass-captain-kid-op01-051","Eustass""Captain""Kid · Super Rare (OP01-051)","<p><strong>Eustass""Captain""Kid</strong> — Super Rare from OP-01 Romance Dawn (OP01-051).</p><p>Color: Green · Power 8000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-051",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-051.png?260715","Eustass""Captain""Kid Super Rare card","active"
"crocodile-op01-067","Crocodile · Super Rare (OP01-067)","<p><strong>Crocodile</strong> — Super Rare from OP-01 Romance Dawn (OP01-067).</p><p>Color: Blue · Power 7000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-01 Romance Dawn",TRUE,"Title","Default Title","HC-OP01-067",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP01-067.png?260715","Crocodile Super Rare card","active"
"uta-op02-120","Uta · Secret Rare (OP02-120)","<p><strong>Uta</strong> — Secret Rare from OP-02 Paramount War (OP02-120).</p><p>Color: Purple · Power 8000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Secret Rare, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-120",1,"shopify",5,"deny","manual",149.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-120.png?260715","Uta Secret Rare card","active"
"kuzan-op02-121","Kuzan · Secret Rare (OP02-121)","<p><strong>Kuzan</strong> — Secret Rare from OP-02 Paramount War (OP02-121).</p><p>Color: Black · Power 10000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Secret Rare, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-121",1,"shopify",5,"deny","manual",149.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-121.png?260715","Kuzan Secret Rare card","active"
"edward-newgate-op02-001","Edward.Newgate · Leader (OP02-001)","<p><strong>Edward.Newgate</strong> — Leader from OP-02 Paramount War (OP02-001).</p><p>Color: Red · Power 6000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-001",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-001.png?260715","Edward.Newgate Leader card","active"
"monkey-d-garp-op02-002","Monkey.D.Garp · Leader (OP02-002)","<p><strong>Monkey.D.Garp</strong> — Leader from OP-02 Paramount War (OP02-002).</p><p>Color: Red/Black · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-002",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-002.png?260715","Monkey.D.Garp Leader card","active"
